Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Content Rating,Directors,Actors,Production Company,director_movie_nominated
Spotlight,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar",Winner,2015,129,"Biography,Crime,Drama",8.1,"440,413",R,unknown,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, Brian d'Arcy James, Stanley Tucci, Billy Crudup, John Slattery, Len Cariou, Elena Wohl, Gene Amoroso, Jamey Sheridan, Sharon McFarlane, Doug Murray (II), Brian Chamberlain, Michael Cyril Creighton, Paul Guilfoyle (II), Patty Ross, Neal Huff, Elena Juatco, Stefanie Drummond, Darrin Baker, Krista Morin, Laurie Murdoch, Duane Murray, Joe Stapleton, Laurie Heineman, Rob De Leeuw, Gary Galone, Janet Pinnick, Moira Driscoll, Maureen Keiller, Robert B. Kennedy, Robert Clarke, David Fraser, Bruce Serafin, Richard O'Rourke, Michael Countryman, Tim Whalen, Martin Roach, Brad Borbridge, Don Allison, James LeBlanc, Paloma Nunez, Paulette Sinclair, Nancy Villone, Wendy Merry McCarthy, Siobahn Murphy, Eileen Padua, Brett Cramp, Tim Progosh, Neion George, Zarrin Darnell-Martin, Paula Barrett, Mairtin O'Carrigan, Nancy E. Carroll, Anthony Paolucci, Dennis M. Lynch, Michele Proude, Dennis Lynch, Mark McGrinder, Richard Fitzpatrick, Tom Driscoll, Jeffrey Samai, Forrest Weber, Doreen Spencer, Shannon McDonough, Shannon Ruth, Daniel Ruth, Timothy Mooney, Donna Jahier, Edward Brickley",Open Road Films,0
Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi",Nominee,2016,127,"Biography,Drama,History",7.8,"211,233",unknown,unknown,unknown,unknown,0
Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito",Nominee,2017,132,"Drama,Romance",7.9,"234,177",unknown,unknown,unknown,unknown,0
Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi",Nominee,2017,130,"Drama,Romance",7.5,"119,413",unknown,unknown,unknown,unknown,0
The Post,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger",Nominee,2017,116,Drama,7.2,"142,630",unknown,unknown,unknown,unknown,0
Parasite,Kwak Sin-ae and Bong Joon-ho,Winner,2019,132,"Comedy,Drama,Thriller",8.6,"651,517",unknown,unknown,unknown,unknown,0
1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall",Nominee,2019,119,"Action,Drama,War",8.3,"485,648",unknown,unknown,unknown,unknown,0
Ford v Ferrari,"Peter Chernin, Jenno Topping, and James Mangold",Nominee,2019,152,"Action,Biography,Drama",8.1,"331,665",unknown,unknown,unknown,unknown,0
Jojo Rabbit,"Carthew Neal, Taika Waititi, and Chelsea Winstanley",Nominee,2019,108,"Comedy,Drama,War",7.9,"335,856",unknown,unknown,unknown,unknown,0
Little Women,Amy Pascal,Nominee,2019,135,"Drama,Romance",7.8,"163,410",unknown,unknown,unknown,unknown,0
Once Upon a Time in Hollywood,"David Heyman, Shannon McIntosh, and Quentin Tarantino",Nominee,2019,161,"Comedy,Drama",7.6,"628,233",unknown,unknown,unknown,unknown,0
Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao",Nominee,2020,107,Drama,7.4,"123,041",unknown,unknown,unknown,unknown,0
The Father,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne",Nominee,2020,97,Drama,8.3,"89,693",unknown,unknown,unknown,unknown,0
Judas and the Black Messiah,"Shaka King, Charles D. King, and Ryan Coogler",Nominee,2021,126,"Biography,Drama,History",7.5,"58,996",unknown,unknown,unknown,unknown,0
Mank,"Ceán Chaffin, Eric Roth, and Douglas Urbanski",Nominee,2020,131,"Biography,Comedy,Drama",6.9,"65,380",unknown,unknown,unknown,unknown,0
Minari,Christina Oh,Nominee,2020,115,Drama,7.5,"57,976",unknown,unknown,unknown,unknown,0
Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara",Nominee,2020,113,"Crime,Drama,Thriller",7.5,"122,269",unknown,unknown,unknown,unknown,0
Sound of Metal,Bert Hamelinck and Sacha Ben Harroche,Nominee,2019,120,"Drama,Music",7.8,"102,807",unknown,unknown,unknown,unknown,0
The Trial of the Chicago 7,Marc Platt and Stuart M. Besser,Nominee,2020,129,"Drama,History,Thriller",7.8,"156,283",unknown,unknown,unknown,unknown,0
The Broadway Melody,Metro-Goldwyn-Mayer,Winner,1929,100,"Drama,Musical,Romance",5.7,"6,890",NR,Harry Beaumont,"Anita Page, Bessie Love, Charles King, Jed Prouty, Ken Thomson, Edward Dillon, Mary Doran, J. Emmett Beck, Marshall Ruth, J.E. Beck, Drew Demarest, Eddie Kane, Nacio Herb Brown, Ray Cooke, James Gleason, Charles King Bibby, Angella Mawby, Claudine Mawby, Claudette Mawby",MGM,1
In Old Arizona,Fox,Nominee,1928,95,Western,5.6,"1,019",NR,"Irving Cummings, Raoul Walsh","Warner Baxter, Edmund Lowe, Dorothy Burgess, J. Farrell MacDonald, Fred Warren, Henry Armetta, Frank Campeau, Tom Santschi, Pat Hartigan, Roy Stewart, Soledad Jiminez, Frank Nelson, Duke Martin, James Marcus, Alphonse Ethier, Helen Lynch, Ivan Linow, Joe E. Brown, Lola Salvi, Edward Peil Sr., John Webb Dillon, James Bradbury Jr, Chris-Pin Martin",20th Century Fox,1
The Big House,Cosmopolitan,Nominee,1930,87,"Crime,Drama,Thriller",7.1,"2,079",NR,George W. Hill,"Wallace Beery, Robert Montgomery, Chester Morris, Karl Dane, Lewis Stone, Leila Hyams, George F. Marion, J.C. Nugent, DeWitt Jennings, Matthew Betz, Claire McDowell, Robert E. O'Connor, Robert Emmett O'Connor, Tom Wilson, Eddie Foyer, Roscoe Ates, Fletcher Norton, Adolph Seidel, Tom Kennedy, Eddie Lambert, Michael Vavitch",Warner Brothers Pictures,1
Cimarron,RKO Radio,Winner,1931,123,"Drama,Western",5.9,"5,851",NR,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier, William Collier Jr., Roscoe Ates, George E. Stone, Robert McWade, Frank Darien, Edna May Oliver, Eugene Jackson, Dolores Brown, Gloria Vonic, Otto Hoffman, William Orlamond, Frank Beal, Nancy Dover, Helen Parrish, Donald Dillaway, Junior Johnson, Douglas Scott, Reggie Streeter, Lois Jane Campbell, Ann Lee, Tyrone Brereton, Lillian Lane, Henry Roquemore, Nell Craig, Bob McKenzie, Bob Kortman, Clara Hunt, William Janney, Dennis O'Keefe, Stanley Fields, Frederick Burt, William P. Burt, Frank O'Connor",MGM,1
Grand Hotel,Metro-Goldwyn-Mayer,Winner,1932,112,"Drama,Romance",7.4,"18,314",NR,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lewis Stone, Jean Hersholt, Robert McWade, Purnell Pratt, Ferdinand Gottschalk, Lionel Barrymore, Rafaela Ottiano, Morgan Wallace, Tully Marshall, Murray Kinnell, Edwin Maxwell, Mary Carlisle, John Davidson, Sam McDaniel, Rolfe Sedan, Herbert Evans, Lee Phelps, Frank Conroy, Bodil Rosing",MGM,3
Dark Victory,Warner Bros.-First National,Nominee,1939,104,"Drama,Romance",7.5,"10,648",PG,Edmund Goulding,"Bette Davis, George Brent, Humphrey Bogart, Geraldine Fitzgerald, Ronald Reagan, Cora Witherspoon, Henry Travers, Dorothy Peterson, Virginia Brissac, Charles Richman, Herbert Rawlinson, Leonard Mudie, Fay Helm, Lotta Williams, Diane Bernard, Jack Mower, William Worthington, Alexander Leftwich, Ila Rhodes, Frank Darien, Stuart Holmes, John Harron, John Ridgely, Rosella Towne, Edgar Edwards, Lottie Williams, Jeffrey Sayre, Will Morgan, Wedgewood Nowell, Nat Carr, Eddie Graham, Jack Goodrich, Maris Wrixon, Richard Bond, Wilda Bennett, Leyland Hodgson, Mary Currier, David Newell, Marian Alden, Paulette Evans, Frank Mayo, Sidney Bracey, Speirs Buskell",20th Century Fox,3
The Razor's Edge,20th Century-Fox,Nominee,1946,145,"Drama,Romance",7.4,"5,770",NR,Edmund Goulding,"Tyrone Power, Gene Tierney, Clifton Webb, Anne Baxter, John Payne, Herbert Marshall, Lucile Watson, Frank Latimore, Elsa Lanchester, Fritz Kortner, John Wengraf, Cecil Humphreys, Harry Pilcer, Cobina Wright Sr., Albert Petit, Noel Cravat, Isabelle Lamore, André Charlot, Renee Carson, Jean Del Val, Walter Bonn, Robert Laurent, Marie Rabasse, Bess Flowers, Frances Morris, Barry Norton, Helen Pasquelle, Mayo Newhall, Stanislas Bielski, Peggy O'Neill, Betty Lou Volder, Mary Brewer, Blanche Taylor, Dorothy Abbott, Marge Pemberton, Richard Shaw, Greta Granstedt, Fred Farrell, Albert Pollet, Lillian Stanford, Marcel de la Brosse, George Sorel, Ross Tompson, Gerald Echeverria, Eddie Das, Hassan Khayyam, Sol (Saul) Gorss, Bud Wolfe, Patti Behrs, Susan Hartmann, Suzanne O'Connor, Marek Windheim, Roger Valmy, Forbes Murray, Jean De Briac, Robert Norwood, Ray de Ravenne, Joseph Burlando, Frances Rey, Shushella Shakari, Henri Letondal, Laura Stevens, Eugene Borden, Demetrius Alexis, Gale Entrekin, Louis Mercier, George Davis, Mme. Louise Colombet, Frank Arnold, Adele St. Maur, Juan Duval, Hermine Sterler, Louis Bacigalupi",20th Century Fox,3
The Champ,Metro-Goldwyn-Mayer,Nominee,1931,86,"Drama,Sport",7.3,"3,003",NR,King Vidor,"Wallace Beery, Jackie Cooper, Irene Rich, Roscoe Ates, Edward S. Brophy, Hale Hamilton, Jesse Scott, Marcia Mae Jones, Tiffany Clark, Rhonda Jo Petty, Lee Phelps, Frank S. Hagney",MGM,2
